Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
Manchester City,ENG,1,38,29,6,3,99,26,73,93,2.45,89.0,27.2,61.9,1.63,52774,Kevin De Bruyne - 15,Ederson
Liverpool,ENG,2,38,28,8,2,94,26,68,92,2.42,89.2,34.2,55.0,1.45,53367,Mohamed Salah - 23,Alisson
Bayern Munich,GER,1,34,24,5,5,97,37,60,77,2.26,88.1,37.1,51.0,1.5,33176,Robert Lewandowski - 35,Manuel Neuer
Paris S-G,FRA,1,38,26,8,4,90,36,54,86,2.26,76.5,38.6,37.9,1.0,41188,Kylian Mbappé - 28,Keylor Navas
Real Madrid,ESP,1,38,26,8,4,80,31,49,86,2.26,74.3,47.0,27.3,0.72,41235,Karim Benzema - 27,Thibaut Courtois
Milan,ITA,1,38,26,8,4,69,31,38,86,2.26,63.1,34.8,28.3,0.74,42388,Olivier Giroud Rafael Leão - 11,Mike Maignan
Inter,ITA,2,38,25,9,4,84,32,52,84,2.21,81.4,39.2,42.2,1.11,41407,Lautaro Martínez - 21,Samir Handanovi?
Napoli,ITA,3,38,24,7,7,74,31,43,79,2.08,59.4,31.9,27.6,0.73,26681,Victor Osimhen - 14,David Ospina
Dortmund,GER,2,34,22,3,9,85,52,33,69,2.03,62.8,43.2,19.6,0.58,41800,Erling Haaland - 22,Gregor Kobel
Chelsea,ENG,3,38,21,11,6,76,33,43,74,1.95,67.2,36.0,31.3,0.82,36443,Mason Mount - 11,Edouard Mendy
Barcelona,ESP,2,38,21,10,7,68,38,30,73,1.92,62.1,35.9,26.2,0.69,53982,Memphis Depay - 12,Marc-André ter Stegen
Leverkusen,GER,3,34,19,7,8,80,47,33,64,1.88,63.3,43.1,20.2,0.59,17356,Patrik Schick - 24,Luká Hrádeck?
Tottenham,ENG,4,38,22,5,11,69,40,29,71,1.87,65.1,39.4,25.8,0.68,56523,Son Heung-min - 23,Hugo Lloris
Marseille,FRA,2,38,21,8,9,63,38,25,71,1.87,59.2,40.0,19.1,0.5,51082,Dimitri Payet - 12,Pau López
Atlético Madrid,ESP,3,38,21,8,9,65,43,22,71,1.87,52.8,33.7,19.1,0.5,48039,Ángel Correa - 12,Jan Oblak
Sevilla,ESP,4,38,18,16,4,53,30,23,70,1.84,43.7,38.4,5.3,0.14,29756,Rafa Mir - 10,Yassine Bounou
Juventus,ITA,4,38,20,10,8,57,37,20,70,1.84,51.5,38.0,13.4,0.35,21627,Paulo Dybala - 10,Wojciech Szcz?sny
Monaco,FRA,3,38,20,9,9,65,40,25,69,1.82,58.0,42.0,16.0,0.42,5870,Wissam Ben Yedder - 25,Alexander Nübel
Arsenal,ENG,5,38,22,3,13,61,48,13,69,1.82,59.9,47.1,12.8,0.34,59665,Bukayo Saka - 11,Aaron Ramsdale
Rennes,FRA,4,38,20,6,12,82,40,42,66,1.74,62.3,40.7,21.6,0.57,25309,Martin Terrier - 21,Alfred Gomis
Nice,FRA,5,38,20,7,11,52,36,16,66,1.74,57.0,45.1,11.8,0.31,15478,Andy Delort - 16,Walter Benítez
RB Leipzig,GER,4,34,17,7,10,72,37,35,58,1.71,63.4,41.8,21.6,0.64,22124,Christopher Nkunku - 20,Péter Gulácsi
Betis,ESP,5,38,19,8,11,62,40,22,65,1.71,55.1,44.2,10.9,0.29,41749,Juanmi - 16,Rui Silva
Lazio,ITA,5,38,18,10,10,77,58,19,64,1.68,55.8,48.3,7.6,0.2,21235,Ciro Immobile - 27,Thomas Strakosha
Union Berlin,GER,5,34,16,9,9,50,44,6,57,1.68,50.5,41.6,8.8,0.26,14046,Taiwo Awoniyi - 15,Andreas Luthe
Strasbourg,FRA,6,38,17,12,9,60,43,17,63,1.66,59.3,42.6,16.8,0.44,23462,Ludovic Ajorque - 12,Matz Sels
Roma,ITA,6,38,18,9,11,59,43,16,63,1.66,63.7,38.5,25.2,0.66,40745,Tammy Abraham - 17,Rui Patrício
Lens,FRA,7,38,17,11,10,62,48,14,62,1.63,52.8,42.4,10.4,0.27,28460,Arnaud Kalimuendo - 12,Jean-Louis Leca
Fiorentina,ITA,7,38,19,5,14,59,51,8,62,1.63,58.8,44.1,14.7,0.39,19801,Duan Vlahovi? - 17,Pietro Terracciano
Real Sociedad,ESP,6,38,17,11,10,40,37,3,62,1.63,53.8,39.8,14.0,0.37,26813,Mikel Oyarzabal - 9,Álex Remiro
Freiburg,GER,6,34,15,10,9,58,46,12,55,1.62,49.9,45.1,4.8,0.14,18741,Vincenzo Grifo - 9,Mark Flekken
Lyon,FRA,8,38,17,11,10,66,51,15,61,1.61,70.4,54.5,15.9,0.42,31103,Moussa Dembélé - 21,Anthony Lopes
Villarreal,ESP,7,38,16,11,11,63,37,26,59,1.55,62.5,46.5,16.0,0.42,14293,Arnaut Groeneveld - 10,Gerónimo Rulli
Atalanta,ITA,8,38,16,11,11,65,48,17,59,1.55,66.2,45.2,20.9,0.55,10047,Mario Paali? - 13,Juan Musso
Köln,GER,7,34,14,10,10,52,49,3,52,1.53,50.9,51.9,-1.1,-0.03,31965,Anthony Modeste - 20,Marvin Schwäbe
Manchester Utd,ENG,6,38,16,10,12,57,57,0,58,1.53,54.8,54.5,0.3,0.01,73150,Cristiano Ronaldo - 18,David de Gea
West Ham,ENG,7,38,16,8,14,60,51,9,56,1.47,49.9,51.0,-1.1,-0.03,58370,Jarrod Bowen - 12,?ukasz Fabia?ski
Nantes,FRA,9,38,15,10,13,55,48,7,55,1.45,43.9,55.4,-11.5,-0.3,20368,Randal Kolo Muani - 12,Alban Lafont
Athletic Club,ESP,8,38,14,13,11,43,36,7,55,1.45,50.1,38.3,11.8,0.31,32949,Iñaki Williams - 8,Unai Simón
Lille,FRA,10,38,14,13,11,48,48,0,55,1.45,52.4,40.4,12.1,0.32,34025,Jonathan David - 15,Ivo Grbi?
